Title,Comment
The Time We Were Not In Love,"Thanks alot for all your efforts. Would you upload ""The Musical"" 2011, please?
I really want to watch it, but I cannot find it anywhere. Please, please, keep it in mind.
I will check every now and then to watch it when you upload it.
Again, thanks alot for uploading all these series with subtitles. I really appreciate it❤️ keep up the good work 👌"
The Time We Were Not In Love,شكرا على الترجمه
The Time We Were Not In Love,mi pjace molto il serinal drama 💞 🙏 💞 🙏 💞 🙏
The Time We Were Not In Love,I'm that Malawian girl addicted to Kdramas 😊
The Time We Were Not In Love,Substitution😅😓😭😭😭😭😭😢😂🤣🤣.
The Time We Were Not In Love,"Watched also Japanese version "" I do not love you yet"" both of them are perfect🕊"
The Time We Were Not In Love,ha jiwon :)
The Time We Were Not In Love,Ha ji won❤️❤️❤️
The Time We Were Not In Love,"Однажды мне приснился сон, я была в очень модном магазине и примеряла обувь, но обувь вся была на одну ногу. Вскоре после этого, я встретила своего будущего мужа."
The Time We Were Not In Love,"I'm here after finishing ""bulgasal""... Just wanted to see the main lead again!♥️"
The Time We Were Not In Love,The past is so funny . They look so cute
The Time We Were Not In Love,Recommend me k dramas with eng sub available on youtube plz
The Time We Were Not In Love,if its 2018= heroin has 34 so back then she has 17=2001 so the Korean education system was girl classe apart from boys class??? even same grad?
The Time We Were Not In Love,I love All korian drams ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ from I am a indian 🇮🇳 Thelugu Ts
The Time We Were Not In Love,Tomorrow is my maths test and I am here watching this drama 😂😂 high school sucks 😭
The Time We Were Not In Love,This drama is great go ahead and watch.
The Time We Were Not In Love,This is one of my favorite k dramas💕💕
The Time We Were Not In Love,Suggest me a best school drama to watch...
The Time We Were Not In Love,I think I know a lot of cast here.
The Time We Were Not In Love,"Anyone here from India addicted to k-dramas like me😉😉💜💜
👇"
The Fierce Wife,finally...good decision...don't be afraid
The Fierce Wife,我觉得很扣分的片段是 天慰和安真的吻戏。 有那个必要吗？还床上激情热吻勒。 安真人社是个保守，自重的女人。 而天慰是个对感情慢热，腼腆的人。 我是很想他们在一起，可是这样一个桥段让我觉得安真和天慰有点随便。 这不是我认识的安真，还我安真！ >.<
The Fierce Wife,Também é meio confuso queria saber se Rui ficou com a We e a criança
The Fierce Wife,A we conversou com a prima gostaria de saber oque
The Fierce Wife,Assusti a primeira temporada gostaria de assistir a segunda em português
The Fierce Wife,"Eu assisti essa série no telegram, mas lá foi cortada do episódio 24 pra frente.  Fiquei bem aborrecida 😥"
The Fierce Wife,Really enjoyed this series on Netflix. I agree asking for a divorce while your wife is in Hospital is unforgivable. So happy she did not take him back and has a Husband now that will appreciate her. Great acting.
The Fierce Wife,"Is this a the series or is it a movie along with it, I just started to watching these for the last few months and found only 2 shows with the younger male lead and he IA really talented did he Do more shows or movies, the main lead female was so good for this part in some parts it almost made me cry."
The Fierce Wife,She deserves to be happy  now
The Fierce Wife,🥰👍❤️❤️❤️❤️🇷🇴
The Fierce Wife,Subsidi indo
The Fierce Wife,Simplesmente amei a série.  Vi a temporada 1 na Netflix e a 2 aqui.  Ela sofreu muito e não merecia dá uma segunda chance ao ex. Ele a maltratou muito. Gostei do final!!😍
The Fierce Wife,"I love it 👌👌👌💃💃🥂🤗
Wat an amaizing great ending and superb msg"
The Fierce Wife,32:54 😭😭😭😭
The Fierce Wife,Que isso a 2° temporada??????
The Fierce Wife,"Estava procurando pela música da série, e encontrei  esse filme continuação da série amei, na série sofri junto com ela porque passei pela mesma situação, fiquei muito feliz porque os dois ficaram juntos no final, eu também tenho quatro anos que me separei mas ainda não encontrei o amor. Obrigada  por ter postado esse filme que nos proporcionou esse belíssimo final, simplesmente amei 🥰😍"
The Fierce Wife,"Que história !Acabei de assistir a série , retrata a vida de muitas famílias , infelizmente, mas que nós possamos ficar atentos , pois as perdas são muito grandes e não vale a pena."
The Fierce Wife,"terminei o dorama agora ai vim procurar a ost  pra baixar e encontro o filme. Maravilha,obrigada por postar!"
The Fierce Wife,"It’s good the female lead did not go back to her ex husband. After all the experiences she had with him,  I am happy she finally got a good man in the end. Asking for divorce while wife is in the hospital is unforgivable for me."
The Fierce Wife,"Though I expected something different, I'm glad those two ended up together. But I do wonder, what's the point of Wei En (is that how to spell it?) showing up only to disappear quickly? Is Oliver going to get to know his dad and sister?"
Emergency Interrogation Room,Horraaa
Emergency Interrogation Room,أروع مملثة فى الكون أنا بأحبها جدا
Kkondae Intern,Que série é essa?
Kkondae Intern,Quisiera verlos actuar a los dos en un drama <3
Kkondae Intern,Only drama i didn't like park jae hin pairing 😔😔
Kkondae Intern,Park Hae-Jin❤️ tenho ciúmes dele
Kkondae Intern,Kocowa Magnificas Historias 👍👍👍👍👏👏👏👏👏👏
Kkondae Intern,it would have been better if they end up together..i like thier chemistry soo cute😍😍😍
Kkondae Intern,Lo nesecito en español por favor
Kkondae Intern,How to see ful episode website
Kkondae Intern,I love this drama..never miss
Kkondae Intern,"Her boss help her, so sweet 💖💖💖"
Kkondae Intern,Im criying bye
Lovestruck in the City,Best thing to do when you don’t want to answer a question? 😘
Lovestruck in the City,Drama name
