,Title,Neg,Pos,Neu
0,!@#$%^&^%$#@,0,0,0
1,the time we were not in love,0,8,12
2,the fierce wife,0,3,17
3,emergency interrogation room,0,0,2
4,kkondae intern,0,3,8
5,lovestruck in the city,0,6,14
6,mystic,0,0,20
7,sweet home,0,0,20
8,paava kadhaigal,1,3,16
9,diamond city,2,1,17
10,schulz saves america,2,4,14
11,tornado,0,1,7
12,run on,0,4,16
13,the ripper,0,4,16
14,how to ruin christmas,1,3,16
15,teen mom 2,0,1,19
16,the challenge,0,2,18
17,black ink crew new york,2,3,15
18,the sound of your heart,5,0,15
19,ranczo,0,3,17
20,tiny pretty things,2,4,14
21,a-teen,0,6,14
22,exatlon,0,0,20
23,the return of the condor heroes,1,0,19
24,stepping out,0,3,17
25,vettai,0,2,18
26,wild orchids,3,4,13
27,mystery,1,7,12
28,morning express,3,3,14
29,immortal love,0,8,12
30,the golden pillow,0,3,12
31,1920. wojna i milosc,0,0,10
32,the surgeons cut,1,5,14
33,once upon a time,0,1,19
34,babel,0,6,14
35,the war of the worlds,1,7,12
36,the pet girl of sakurasou,0,4,16
37,world on fire,1,11,8
38,100 days my prince,1,3,16
39,the ultimate braai master,0,0,4
40,hard copy,0,1,0
41,bedford wives,0,2,4
42,nothing but thirty,0,3,17
43,more than friends,0,8,12
44,love again,2,3,15
45,graceful family,0,9,11
46,devilish charm,0,6,13
47,detention,0,2,17
48,selena: the series,2,1,17
49,bhaag beanie bhaag,3,4,13
50,alien worlds,1,4,15
51,lone wolf,3,4,13
52,once again,0,7,13
53,the bachelorette,0,9,11
54,the holiday movies that made us,3,3,14
55,are you the one,2,4,14
56,twelve nights,0,5,12
57,matrimonial chaos,1,1,18
58,"fujoshi, ukkari gei ni kokuru",0,1,11
59,the guest,1,8,11
60,princess sarah,0,2,18
61,scent of love,2,2,16
62,nakee,0,0,20
63,go ahead,0,3,17
64,gibiate,4,1,15
65,a very english scandal,2,7,11
66,deliver us,0,6,14
67,the uncanny counter,0,8,12
68,die gustloff,3,3,14
69,space brothers,1,6,13
70,tower of god,0,5,15
71,to the abandoned sacred beasts,0,4,16
72,yashahime: princess half-demon,0,4,16
73,rich man,1,5,14
74,path of the dragons,2,1,17
75,olympia kyklos,0,1,0
76,moriarty the patriot,0,5,15
77,im standing on a million lives,3,4,13
78,dragon quest the adventure of dai,0,6,14
79,double fantasy,2,4,11
80,dennou coil,0,4,7
81,the day i became a god,2,2,16
82,coffee & vanilla,0,1,19
83,blue spring ride,4,2,14
84,beelzebub,7,1,12
85,barangay 143,0,1,19
