id,title,runtime,imdb_id,imdb_score,imdb_votes,IMDb,Rotten Tomatoes
ts22164,Monty Python's Flying Circus,30.0,tt0063929,8.8,72895.0,8.8,81/100
ts45948,Monty Python's Fliegender Zirkus,43.0,tt0202477,8.1,2144.0,8.2,48/100
ts20681,Seinfeld,24.0,tt0098904,8.9,302700.0,,
ts22082,Knight Rider,51.0,tt0083437,6.9,33760.0,,
ts21715,Thomas & Friends,10.0,tt0086815,6.5,4948.0,6.6,62/100
ts20678,Saved by the Bell,23.0,tt0096694,7.1,34854.0,,
ts25028,Wheel of Fortune,26.0,tt0072584,6.7,3126.0,6.7,55/100
ts23753,Major Dad,24.0,tt0096643,6.4,2866.0,,
ts2760,Fireman Sam,10.0,tt0329829,6.1,1759.0,6.2,52/100
ts987,Danger Mouse,15.0,tt0081848,7.4,3514.0,7.4,54/100
ts37779,Danger Mouse,12.0,tt4196822,7.2,579.0,7.4,54/100
ts63001,High Risk,50.0,tt0094478,3.8,6.0,,
ts20981,Survivor,48.0,tt0239195,7.4,24368.0,7.2,72/100
ts22176,Stargate SG-1,44.0,tt0118480,8.4,90196.0,8.4,79/100
ts21223,Pokémon,22.0,tt0168366,7.6,172.0,7.5,73/100
ts20339,One Piece,23.0,tt0388629,8.8,112586.0,8.8,85/100
ts34435,Cowboy Bebop,25.0,tt0213338,8.9,112887.0,,
ts85985,Cowboy Bebop,45.0,tt1267295,6.6,35427.0,,
ts20927,Star Trek: Deep Space Nine,47.0,tt0106145,8.1,61145.0,8.0,80/100
ts5145,The Challenge,40.0,tt0176095,7.8,3274.0,7.7,67/100
ts21567,Gilmore Girls,46.0,tt0238784,8.2,119054.0,8.1,84/100
ts20983,Neon Genesis Evangelion,24.0,tt0112159,8.5,64727.0,8.5,82/100
ts22193,The Magic School Bus,26.0,tt0108847,7.8,9708.0,7.8,62/100
ts20960,Power Rangers,22.0,tt0106064,6.5,21949.0,6.5,63/100
ts11397,Adventures of Sonic the Hedgehog,22.0,tt0222518,6.2,3808.0,6.2,55/100
ts22489,Goosebumps,22.0,tt0111987,7.6,13361.0,7.7,63/100
ts25252,Yu-Gi-Oh!,22.0,tt4834194,7.2,20888.0,7.9,62/100
ts21034,InuYasha,25.0,tt0290223,7.9,15823.0,7.9,69/100
ts8570,Barney & Friends,28.0,tt0144701,3.8,9955.0,3.9,52/100
ts20939,Moesha,21.0,tt0115275,5.7,3713.0,5.8,50/100
ts21693,"Sister, Sister",22.0,tt0108927,6.2,12535.0,6.3,59/100
ts22286,Cardcaptor Sakura,25.0,tt0221735,8.0,4936.0,8.0,64/100
ts21581,Girlfriends,21.0,tt0247102,7.2,4482.0,7.2,56/100
ts20918,The Parkers,19.0,tt0200353,6.8,2346.0,6.9,48/100
ts18465,Dale's Supermarket Sweep,21.0,tt0962853,7.1,39.0,,
ts22080,Oggy and the Cockroaches,9.0,tt0213363,7.4,4185.0,7.3,57/100
ts22039,H,25.0,tt0173554,7.4,1703.0,7.4,56/100
ts21684,Heartbreak High,47.0,tt0108800,7.8,3106.0,7.8,51/100
ts28516,Okupas,40.0,tt0289649,9.0,2326.0,9.1,52/100
ts4,Breaking Bad,48.0,tt0903747,9.5,1727694.0,9.4,100/100
ts9,The Walking Dead,46.0,tt1520211,8.2,945125.0,8.2,93/100
ts26091,The Staircase,49.0,tt0388644,7.8,21531.0,7.9,74/100
ts11,Downton Abbey,58.0,tt1606375,8.7,197744.0,8.7,83/100
ts21469,Grey's Anatomy,49.0,tt0413573,7.6,293618.0,7.5,87/100
ts288536,The Great British Baking Show,57.0,tt1877368,8.6,9564.0,,
ts6495,Criminal Minds,44.0,tt0452046,8.1,189191.0,,
ts22337,NCIS,44.0,tt0364845,7.8,141049.0,7.7,81/100
ts8308,Community,23.0,tt1439629,8.5,252564.0,8.5,90/100
ts22011,Heartland,44.0,tt1094229,8.4,15743.0,8.4,77/100
ts21465,Supernatural,45.0,tt0460681,8.5,428639.0,8.4,89/100
ts17156,Arrested Development,28.0,tt0367279,8.7,297552.0,8.7,87/100
ts20573,The IT Crowd,25.0,tt0487831,8.5,147409.0,8.5,86/100
ts12724,30 Rock,25.0,tt0496424,8.3,121514.0,,
ts3371,Avatar: The Last Airbender,24.0,tt0417299,9.3,297336.0,9.3,93/100
ts20604,Friday Night Lights,43.0,tt0758745,8.7,64449.0,,
ts21511,My Little Pony: Friendship Is Magic,22.0,tt1751105,7.6,20708.0,7.6,68/100
ts19036,The Fairly OddParents,24.0,tt0235918,7.2,38046.0,,
ts32186,Sonic X,21.0,tt0367413,6.1,4577.0,6.2,57/100
ts11313,DEATH NOTE,24.0,tt0877057,9.0,302147.0,,
ts21247,The Vampire Diaries,42.0,tt1405406,7.7,310776.0,7.7,86/100
ts20305,Naruto,23.0,tt0409591,8.4,93980.0,8.3,81/100
ts2230,America's Next Top Model,44.0,tt0391576,5.6,17843.0,5.5,61/100
ts17942,Chappelle's Show,21.0,tt0353049,8.8,62140.0,8.7,83/100
ts22267,Trailer Park Boys,25.0,tt0290988,8.6,41791.0,8.5,71/100
ts6644,Borgen,58.0,tt1526318,8.5,23523.0,8.5,79/100
ts22018,iCarly,26.0,tt0972534,6.7,38281.0,6.7,71/100
ts30311,Victorious,25.0,tt1604099,6.9,24224.0,6.9,68/100
ts21197,Merlin,44.0,tt1199099,7.9,80138.0,7.9,75/100
ts30313,Offspring,44.0,tt1530541,8.3,4764.0,8.3,62/100
ts35155,Gurren Lagann,24.0,tt0948103,8.3,17024.0,8.3,66/100
ts12787,Code Geass: Lelouch of the Rebellion,24.0,tt0994314,8.7,62367.0,8.7,72/100
ts21544,Transformers: Prime,22.0,tt1659175,7.9,6500.0,7.9,61/100
ts31263,The Mole,52.0,tt0294149,7.6,1104.0,7.5,58/100
ts687,The 4400,44.0,tt0389564,7.3,44971.0,7.3,79/100
ts24028,Still Game,29.0,tt0281491,8.9,7539.0,8.8,61/100
ts23752,Midnight Diner,27.0,tt1882928,8.6,2110.0,,
ts21706,H2O: Just Add Water,25.0,tt0491603,7.2,14782.0,7.2,64/100
ts21740,Black Butler,25.0,tt1316554,8.3,1856.0,7.8,65/100
ts30356,Octonauts,15.0,tt1710177,7.6,1049.0,,
ts31514,Strawberry Shortcake,23.0,tt7996132,7.0,13.0,,
ts22005,Total Drama Island,23.0,tt1173427,7.4,10523.0,7.2,61/100
ts21688,Boys Over Flowers,64.0,tt1370334,7.9,11579.0,7.9,63/100
ts22318,Winx Club,23.0,tt3233214,6.2,6700.0,6.2,57/100
ts12815,Big Time Rush,25.0,tt1131746,6.3,12046.0,6.4,63/100
ts15986,Dead Set,141.0,tt1285482,7.6,19684.0,7.6,74/100
ts26322,Toradora!,30.0,tt1279024,8.0,14307.0,8.0,66/100
ts33559,Shaun the Sheep,7.0,tt0983983,8.0,25.0,8.2,65/100
ts56549,Scare Tactics,22.0,tt0339968,6.7,2512.0,6.7,50/100
ts20398,Kath & Kim,24.0,tt0272397,8.3,4168.0,8.3,60/100
ts21421,Pocoyo,11.0,tt0487849,3.9,93.0,7.4,48/100
ts20526,The Game,22.0,tt10020984,6.6,4417.0,6.7,59/100
ts30083,Angel Beats!,26.0,tt1639109,7.7,13848.0,7.7,63/100
ts23835,Masha and the Bear,6.0,tt1884856,7.6,3114.0,7.5,53/100
ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),55.0,tt1422182,8.1,1740.0,8.1,54/100
ts27459,The Legend of Bruce Lee,45.0,tt1059455,7.0,1422.0,7.0,53/100
ts20544,Ouran High School Host Club,23.0,tt0816397,8.2,9763.0,8.2,66/100
ts40702,The Ultimatum,44.0,tt1682704,5.4,6.0,5.4,33/100
ts30288,Mobile Suit Gundam Unicorn,35.0,tt1630623,7.8,1291.0,7.8,50/100
