id,title,runtime,imdb_id,imdb_score,imdb_votes
ts22164,Monty Python's Flying Circus,30,tt0063929,8.8,72895.0
ts45948,Monty Python's Fliegender Zirkus,43,tt0202477,8.1,2144.0
ts20681,Seinfeld,24,tt0098904,8.9,302700.0
ts22082,Knight Rider,51,tt0083437,6.9,33760.0
ts21715,Thomas & Friends,10,tt0086815,6.5,4948.0
ts20678,Saved by the Bell,23,tt0096694,7.1,34854.0
ts25028,Wheel of Fortune,26,tt0072584,6.7,3126.0
ts23753,Major Dad,24,tt0096643,6.4,2866.0
ts2760,Fireman Sam,10,tt0329829,6.1,1759.0
ts987,Danger Mouse,15,tt0081848,7.4,3514.0
ts63001,High Risk,50,tt0094478,3.8,6.0
ts20981,Survivor,48,tt0239195,7.4,24368.0
ts22176,Stargate SG-1,44,tt0118480,8.4,90196.0
ts21223,Pokémon,22,tt0168366,7.6,172.0
ts20339,One Piece,23,tt0388629,8.8,112586.0
ts34435,Cowboy Bebop,25,tt0213338,8.9,112887.0
ts20927,Star Trek: Deep Space Nine,47,tt0106145,8.1,61145.0
ts5145,The Challenge,40,tt0176095,7.8,3274.0
ts21567,Gilmore Girls,46,tt0238784,8.2,119054.0
ts20983,Neon Genesis Evangelion,24,tt0112159,8.5,64727.0
ts22193,The Magic School Bus,26,tt0108847,7.8,9708.0
ts20960,Power Rangers,22,tt0106064,6.5,21949.0
ts11397,Adventures of Sonic the Hedgehog,22,tt0222518,6.2,3808.0
ts22489,Goosebumps,22,tt0111987,7.6,13361.0
ts25252,Yu-Gi-Oh!,22,tt4834194,7.2,20888.0
ts21034,InuYasha,25,tt0290223,7.9,15823.0
ts8570,Barney & Friends,28,tt0144701,3.8,9955.0
ts20939,Moesha,21,tt0115275,5.7,3713.0
ts21693,"Sister, Sister",22,tt0108927,6.2,12535.0
ts22286,Cardcaptor Sakura,25,tt0221735,8.0,4936.0
ts21581,Girlfriends,21,tt0247102,7.2,4482.0
ts20918,The Parkers,19,tt0200353,6.8,2346.0
ts18465,Dale's Supermarket Sweep,21,tt0962853,7.1,39.0
ts22080,Oggy and the Cockroaches,9,tt0213363,7.4,4185.0
ts22039,H,25,tt0173554,7.4,1703.0
ts21684,Heartbreak High,47,tt0108800,7.8,3106.0
ts28516,Okupas,40,tt0289649,9.0,2326.0
ts4,Breaking Bad,48,tt0903747,9.5,1727694.0
ts9,The Walking Dead,46,tt1520211,8.2,945125.0
ts26091,The Staircase,49,tt0388644,7.8,21531.0
ts11,Downton Abbey,58,tt1606375,8.7,197744.0
ts21469,Grey's Anatomy,49,tt0413573,7.6,293618.0
ts288536,The Great British Baking Show,57,tt1877368,8.6,9564.0
ts6495,Criminal Minds,44,tt0452046,8.1,189191.0
ts22337,NCIS,44,tt0364845,7.8,141049.0
ts8308,Community,23,tt1439629,8.5,252564.0
ts22011,Heartland,44,tt1094229,8.4,15743.0
ts21465,Supernatural,45,tt0460681,8.5,428639.0
ts17156,Arrested Development,28,tt0367279,8.7,297552.0
ts20573,The IT Crowd,25,tt0487831,8.5,147409.0
ts12724,30 Rock,25,tt0496424,8.3,121514.0
ts3371,Avatar: The Last Airbender,24,tt0417299,9.3,297336.0
ts20604,Friday Night Lights,43,tt0758745,8.7,64449.0
ts21511,My Little Pony: Friendship Is Magic,22,tt1751105,7.6,20708.0
ts19036,The Fairly OddParents,24,tt0235918,7.2,38046.0
ts32186,Sonic X,21,tt0367413,6.1,4577.0
ts11313,DEATH NOTE,24,tt0877057,9.0,302147.0
ts21247,The Vampire Diaries,42,tt1405406,7.7,310776.0
ts20305,Naruto,23,tt0409591,8.4,93980.0
ts2230,America's Next Top Model,44,tt0391576,5.6,17843.0
ts17942,Chappelle's Show,21,tt0353049,8.8,62140.0
ts22267,Trailer Park Boys,25,tt0290988,8.6,41791.0
ts6644,Borgen,58,tt1526318,8.5,23523.0
ts22018,iCarly,26,tt0972534,6.7,38281.0
ts30311,Victorious,25,tt1604099,6.9,24224.0
ts21197,Merlin,44,tt1199099,7.9,80138.0
ts30313,Offspring,44,tt1530541,8.3,4764.0
ts35155,Gurren Lagann,24,tt0948103,8.3,17024.0
ts12787,Code Geass: Lelouch of the Rebellion,24,tt0994314,8.7,62367.0
ts21544,Transformers: Prime,22,tt1659175,7.9,6500.0
ts31263,The Mole,52,tt0294149,7.6,1104.0
ts687,The 4400,44,tt0389564,7.3,44971.0
ts24028,Still Game,29,tt0281491,8.9,7539.0
ts23752,Midnight Diner,27,tt1882928,8.6,2110.0
ts21706,H2O: Just Add Water,25,tt0491603,7.2,14782.0
ts21740,Black Butler,25,tt1316554,8.3,1856.0
ts30356,Octonauts,15,tt1710177,7.6,1049.0
ts31514,Strawberry Shortcake,23,tt7996132,7.0,13.0
ts22005,Total Drama Island,23,tt1173427,7.4,10523.0
ts21688,Boys Over Flowers,64,tt1370334,7.9,11579.0
ts22318,Winx Club,23,tt3233214,6.2,6700.0
ts12815,Big Time Rush,25,tt1131746,6.3,12046.0
ts15986,Dead Set,141,tt1285482,7.6,19684.0
ts26322,Toradora!,30,tt1279024,8.0,14307.0
ts33559,Shaun the Sheep,7,tt0983983,8.0,25.0
ts56549,Scare Tactics,22,tt0339968,6.7,2512.0
ts20398,Kath & Kim,24,tt0272397,8.3,4168.0
ts21421,Pocoyo,11,tt0487849,3.9,93.0
ts20526,The Game,22,tt10020984,6.6,4417.0
ts30083,Angel Beats!,26,tt1639109,7.7,13848.0
ts23835,Masha and the Bear,6,tt1884856,7.6,3114.0
ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),55,tt1422182,8.1,1740.0
ts27459,The Legend of Bruce Lee,45,tt1059455,7.0,1422.0
ts20544,Ouran High School Host Club,23,tt0816397,8.2,9763.0
ts40702,The Ultimatum,44,tt1682704,5.4,6.0
ts30288,Mobile Suit Gundam Unicorn,35,tt1630623,7.8,1291.0
ts21967,Johnny Test,18,tt15061770,5.1,8172.0
ts12701,Code Lyoko,24,tt0417311,7.3,5109.0
ts21695,Iris,61,tt1399791,7.8,1951.0
ts121176,DreamWorks Shrek's Swamp Stories,24,tt6950338,6.5,330.0
ts1893,Ben & Holly's Little Kingdom,14,tt1436544,7.5,1222.0
ts20535,The Garfield Show,17,tt1470837,5.3,2499.0
ts38159,Wakfu,22,tt1807824,8.1,1469.0
ts17028,Dinosaur King,21,tt1524993,5.6,720.0
ts25765,Vampire Knight,25,tt1209393,7.3,5172.0
ts3666,Den-noh Coil,25,tt1033796,7.9,863.0
ts42914,Zig and Sharko,9,tt2046005,6.8,644.0
ts21664,One on One,20,tt0284770,7.0,2303.0
ts1464,The Cartel,44,tt1260520,8.1,755.0
ts72322,The Mafia Dolls,43,tt1585368,6.6,284.0
ts52849,Horrid Henry,12,tt0985991,6.3,912.0
ts14102,Bo on the Go!,22,tt1516172,4.1,118.0
ts74928,Einsatzgruppen: The Nazi Death Squads,44,tt6953928,7.6,603.0
ts74931,Kung Fu Panda Awesome Secrets,0,tt6963796,7.2,55.0
ts98252,Dreamworks Happy Holidays from Madagascar,0,tt6929194,6.5,96.0
ts20358,Half & Half,21,tt0320024,7.0,1827.0
ts23319,Timmy Time,14,tt1125758,6.9,1083.0
ts63295,Vientos de agua,72,tt0459724,8.7,1034.0
ts44663,Oscar's Oasis,9,tt2080922,7.4,572.0
ts37200,Trotro,3,tt1074443,6.2,120.0
ts56589,Tayo the Little Bus,11,tt3270208,5.2,156.0
ts1413,Autumn's Concerto,58,tt3530668,7.9,475.0
ts98353,DreamWorks Spooky Stories,26,tt6958564,6.2,19.0
ts137477,Behind Enemy Lines,49,tt5170230,7.2,42.0
ts4866,Fated to Love You,67,tt1483930,7.4,461.0
ts34414,Nuevo Rico Nuevo Pobre,44,tt1233451,7.2,203.0
ts204466,Pecados capitales,43,tt0355119,8.5,190.0
ts18653,Chhota Bheem,22,tt4570986,4.1,822.0
ts67595,Pedro El Escamoso,0,tt0283770,7.5,303.0
ts29199,Monty Python's Personal Best,56,tt0795156,7.9,437.0
ts178360,El cartel 2 - La guerra total,44,tt1667724,6.8,228.0
ts98316,Edge of the Universe,49,tt6951568,7.2,206.0
ts124246,Mighty Raju,20,tt6491030,4.2,57.0
ts12444,The Fierce Wife,59,tt4304720,6.8,90.0
ts39604,The Hospital,48,tt2823414,7.4,40.0
ts160526,Khawatir,20,tt3062514,9.6,3046.0
ts23797,Black & White,37,tt1508870,7.6,302.0
ts70843,The Prince Who Turns into a Frog,44,tt1454440,6.8,128.0
ts13411,Cocaine,44,tt0907286,7.1,60.0
ts8614,Breakout,44,tt7131684,6.7,7.0
ts4924,At Dolphin Bay,59,tt8612066,6.9,39.0
ts126804,My MVP Valentine,69,tt6286390,6.5,27.0
ts188031,Pink Zone,15,tt11194518,6.1,47.0
ts29581,Unriddle,44,tt12229764,8.0,25.0
ts56595,Cocomong,13,tt9892608,5.6,11.0
ts8175,Call the Midwife,56,tt1983079,8.5,25562.0
ts20564,New Girl,21,tt1826940,7.7,216209.0
ts278,Black Mirror,59,tt2085059,8.8,515577.0
ts21580,Longmire,53,tt1836037,8.3,34362.0
ts20660,Shameless,54,tt1586680,8.6,230243.0
ts21806,Happy Endings,21,tt2311579,7.8,37778.0
ts27680,Last Tango in Halifax,59,tt2216156,8.3,6844.0
ts21599,Ink Master,42,tt1865740,7.4,3874.0
ts33338,Top Boy,48,tt1830379,8.4,22420.0
ts32835,Hunter x Hunter,23,tt2098220,9.0,87857.0
ts17598,Arrow,42,tt2193021,7.5,425716.0
ts20457,The Legend of Korra,23,tt1695360,8.4,117464.0
ts20429,Sword Art Online,23,tt2250192,7.6,43727.0
ts6506,The Borgias,51,tt1582457,7.9,50556.0
ts20458,Ninjago: Masters of Spinjitzu,17,tt1871731,7.2,4519.0
