title,IMDb,Rotten Tomatoes
Breaking Bad,9.4,100/100
Stranger Things,8.7,96/100
Attack on Titan,9.0,95/100
Better Call Saul,8.8,94/100
Dark,8.8,93/100
Avatar: The Last Airbender,9.3,93/100
Peaky Blinders,8.8,93/100
The Walking Dead,8.2,93/100
Black Mirror,8.8,92/100
The Queen's Gambit,8.6,92/100
Mindhunter,8.6,90/100
Community,8.5,90/100
Narcos,8.8,90/100
Shameless,8.5,90/100
Money Heist,8.3,90/100
Marvel's Daredevil,8.6,90/100
Lucifer,8.1,90/100
Supernatural,8.4,89/100
The Witcher,8.2,89/100
Ozark,8.4,89/100
The Crown,8.6,89/100
Cobra Kai,8.6,89/100
The Blacklist,8.0,88/100
The Flash,7.6,88/100
Outlander,8.4,88/100
Fullmetal Alchemist: Brotherhood,9.1,88/100
The Good Place,8.2,88/100
House of Cards,8.7,88/100
Atypical,8.3,88/100
Grey's Anatomy,7.5,87/100
Arrested Development,8.7,87/100
Lupin,7.5,87/100
The Umbrella Academy,8.0,87/100
Orange Is the New Black,8.0,87/100
The Vampire Diaries,7.7,86/100
Demon Slayer: Kimetsu no Yaiba,8.7,86/100
The Last Dance,9.1,86/100
American Horror Story,8.0,86/100
Elite,7.5,86/100
BoJack Horseman,8.7,86/100
Star Trek: The Next Generation,8.6,86/100
Broadchurch,8.4,86/100
The IT Crowd,8.5,86/100
When They See Us,8.9,86/100
"Love, Death & Robots",8.5,86/100
Schitt's Creek,8.5,86/100
Marvel's Agents of S.H.I.E.L.D.,7.5,86/100
Never Have I Ever,7.9,86/100
The 100,7.6,86/100
American Crime Story,8.4,85/100
The Last Kingdom,8.4,85/100
The End of the F***ing World,8.1,85/100
New Girl,7.7,85/100
Penny Dreadful,8.2,85/100
One Piece,8.8,85/100
Marvel's The Punisher,8.5,85/100
Evil,7.7,85/100
YOU,7.7,85/100
Sense8,8.3,84/100
Making a Murderer,8.6,84/100
Unbelievable,8.4,84/100
Arrow,7.5,84/100
Sex Education,8.3,84/100
Marvel's Jessica Jones,7.9,84/100
Sweet Tooth,7.9,84/100
Good Girls,7.8,84/100
Death Note,9.0,84/100
Gilmore Girls,8.1,84/100
The Legend of Korra,8.4,83/100
How to Get Away with Murder,8.1,83/100
Master of None,8.3,83/100
Chappelle's Show,8.7,83/100
One-Punch Man,8.8,83/100
Downton Abbey,8.7,83/100
Gotham,7.8,83/100
Pose,8.6,83/100
Bodyguard,8.1,83/100
Altered Carbon,8.0,83/100
Ash vs Evil Dead,8.4,83/100
The Sinner,7.9,83/100
Our Planet,9.3,82/100
Narcos: Mexico,8.4,82/100
Shadow and Bone,7.7,82/100
Castlevania,8.3,82/100
Star Trek,8.3,82/100
The Kominsky Method,8.2,82/100
Hunter x Hunter,9.0,82/100
Dead to Me,8.0,82/100
The Haunting of Hill House,8.6,82/100
Russian Doll,7.9,82/100
Kingdom,8.4,82/100
Neon Genesis Evangelion,8.5,82/100
Naruto,8.3,81/100
NCIS,7.7,81/100
Manifest,7.2,81/100
Halt and Catch Fire,8.4,81/100
Monty Python's Flying Circus,8.8,81/100
After Life,8.4,81/100
Riverdale,6.8,81/100
Big Mouth,7.9,81/100
I Think You Should Leave with Tim Robinson,7.8,81/100
Derry Girls,8.4,81/100
The Promised Neverland,8.5,81/100
Lost in Space,7.3,80/100
Star Trek: Deep Space Nine,8.0,80/100
Jane the Virgin,7.8,80/100
Godless,8.3,80/100
The OA,7.8,80/100
DC's Legends of Tomorrow,6.8,80/100
Sacred Games,8.6,80/100
iZombie,7.8,80/100
Longmire,8.3,80/100
Happy Endings,7.7,80/100
Into the Badlands,8.0,80/100
The Originals,8.2,80/100
Anne with an E,8.7,80/100
Grace and Frankie,8.3,80/100
Chilling Adventures of Sabrina,7.5,80/100
Queen of the South,8.0,79/100
A Series of Unfortunate Events,7.8,79/100
Bridgerton,7.3,79/100
Unorthodox,8.0,79/100
Stargate SG-1,8.4,79/100
Outer Banks,7.6,79/100
13 Reasons Why,7.6,79/100
Unbreakable Kimmy Schmidt,7.6,79/100
Marvel's Luke Cage,7.3,79/100
GLOW,8.0,79/100
Borgen,8.5,79/100
The 4400,7.3,79/100
Alias Grace,7.7,79/100
All American,7.7,79/100
Santa Clarita Diet,7.8,79/100
Reign,7.5,78/100
Maniac,7.8,78/100
Dark Matter,7.5,78/100
Star Trek: Voyager,7.8,78/100
"Tiger King: Murder, Mayhem and Madness",7.6,78/100
Call the Midwife,8.4,78/100
Queer Eye,8.5,78/100
American Vandal,8.2,78/100
Wynonna Earp,7.5,78/100
Marvel's The Defenders,7.3,78/100
HAPPY!,8.2,77/100
Haikyu!!,8.7,77/100
Colony,7.4,77/100
Heartland,8.4,77/100
Alone,8.4,77/100
Marco Polo,8.0,77/100
Wild Wild Country,8.1,77/100
The Dragon Prince,8.4,77/100
Locke & Key,7.4,77/100
Love,7.7,77/100
One Day at a Time,8.2,77/100
Feel Good,7.5,77/100
Fauda,8.2,77/100
The Dark Crystal: Age of Resistance,8.4,77/100
Top Boy,8.4,77/100
I Am Not Okay with This,7.5,77/100
Supergirl,6.2,77/100
The Shannara Chronicles,7.2,77/100
Designated Survivor,7.5,77/100
Travelers,8.1,77/100
StartUp,7.9,77/100
Ripper Street,8.1,77/100
Episodes,7.8,77/100
Crazy Ex-Girlfriend,7.8,76/100
Bloodline,7.9,76/100
Black Summer,6.5,76/100
The Borgias,7.9,76/100
Glee,6.7,76/100
The Stranger,7.3,76/100
Virgin River,7.4,76/100
Lilyhammer,8.0,76/100
Dirty John,7.2,76/100
TURN: Washington's Spies,8.1,76/100
Star Trek: Enterprise,7.5,76/100
She-Ra and the Princesses of Power,7.9,75/100
Merlin,7.9,75/100
The Magicians,7.6,75/100
Ginny & Georgia,7.5,75/100
The Spy,7.9,75/100
On My Block,8.0,75/100
The Movies That Made Us,7.8,75/100
Chef's Table,8.5,75/100
Biohackers,6.8,75/100
The Seven Deadly Sins,8.0,75/100
The Keepers,8.1,75/100
F is for Family,8.0,74/100
The Midnight Gospel,8.2,74/100
Ragnarok,7.5,74/100
Legacies,7.4,74/100
The Order,6.8,74/100
Disenchantment,7.2,74/100
Dead Set,7.6,74/100
Dirty Money,8.1,74/100
The Staircase,7.9,74/100
Soul Eater,7.8,74/100
Into the Night,7.1,74/100
The Haunting of Bly Manor,7.4,74/100
Julie and the Phantoms,8.5,74/100
Leyla ile Mecnun,9.1,74/100
Living with Yourself,7.2,74/100
Young Royals,8.6,74/100
Hilda,8.6,74/100
The Mechanism,8.4,74/100
ERASED,8.5,74/100
Formula 1: Drive to Survive,8.6,74/100
Don't F**k with Cats: Hunting an Internet Killer,8.0,74/100
Kim's Convenience,8.2,73/100
The Society,7.1,73/100
Imposters,7.8,73/100
Frequency,7.5,73/100
Wentworth,8.6,73/100
Marvel's Iron Fist,6.5,73/100
Bleach,8.1,73/100
Quantico,6.7,73/100
Shooter,7.5,73/100
Pokémon,7.5,73/100
Hollywood,7.5,73/100
Madam Secretary,7.6,73/100
Last Tango in Halifax,8.3,73/100
Safe,7.3,73/100
Resurrection: Ertugrul,8.0,73/100
Versailles,7.9,73/100
Sex/Life,5.4,73/100
Fullmetal Alchemist,8.5,73/100
Marianne,7.5,73/100
Five Came Back,8.3,73/100
Miraculous: Tales of Ladybug & Cat Noir,7.7,73/100
Abstract: The Art of Design,8.4,73/100
Teenage Bounty Hunters,7.7,72/100
Documentary Now!,8.1,72/100
Special,7.6,72/100
JoJo's Bizarre Adventure,8.4,72/100
Manhunt,8.1,72/100
Your Lie in April,8.6,72/100
Code Geass: Lelouch of the Rebellion,8.7,72/100
Middleditch & Schwartz,8.6,72/100
Zoo,6.7,72/100
Jupiters Legacy,6.7,72/100
Ratched,7.3,72/100
Babylon Berlin,8.4,72/100
Better Than Us,7.4,72/100
Everything Sucks!,7.5,72/100
Evil Genius,7.5,72/100
Doctor Foster,7.7,72/100
Marcella,7.4,72/100
Survivor,7.2,72/100
Derek,8.0,72/100
Flowers,8.2,72/100
3%,7.4,72/100
Tuca & Bertie,7.4,72/100
Kuroko's Basketball,8.3,72/100
Parasyte -the maxim-,8.3,72/100
Last Chance U,8.4,71/100
Trailer Park Boys,8.5,71/100
Black Lightning,6.1,71/100
Chicago Med,7.6,71/100
How to Sell Drugs Online (Fast),7.9,71/100
Secret City,7.4,71/100
Dynasty,7.3,71/100
Dracula,6.8,71/100
Delhi Crime,8.5,71/100
Space Force,6.7,71/100
Pretend It's a City,8.1,71/100
Masters of the Universe: Revelation,4.9,71/100
iCarly,6.7,71/100
Who Killed Sara?,6.4,71/100
Sword Art Online,7.6,71/100
Paranormal,8.5,71/100
Frontier,7.2,71/100
The Politician,7.5,71/100
Raising Dion,7.2,71/100
Food Wars! Shokugeki no Soma,8.2,71/100
Crash Landing on You,8.7,71/100
Seven Seconds,7.7,71/100
The Great British Bake Off,8.5,70/100
Wizards: Tales of Arcadia,8.2,70/100
Conversations with a Killer: The Ted Bundy Tapes,7.8,70/100
Lenox Hill,8.7,70/100
Fate: The Winx Saga,6.9,70/100
The Circle,7.3,70/100
Cheer,8.1,70/100
Hemlock Grove,7.1,70/100
Transformers: War for Cybertron: Siege,7.4,70/100
Explained,8.0,70/100
Messiah,7.6,70/100
Sky Rojo,6.5,70/100
Bonding,7.2,70/100
I'm Sorry,8.0,70/100
Katla,7.1,70/100
It's Okay to Not Be Okay,8.8,70/100
Forensic Files,8.8,70/100
Workin' Moms,7.6,70/100
The Toys That Made Us,8.1,70/100
The Devil Next Door,7.6,70/100
