Title,Genre,Hidden Gem Score,IMDb Score,IMDb Votes,Neg,Pos,Neu
the time we were not in love,"Comedy, Drama, Romance",8.5,7.3,299.0,0.0,8.0,12.0
the fierce wife,Drama,8.3,6.6,75.0,0.0,3.0,17.0
the fierce wife,Drama,8.3,6.6,75.0,0.0,3.0,17.0
emergency interrogation room,Mystery,8.4,6.9,46.0,0.0,0.0,2.0
kkondae intern,"Comedy, Drama",8.7,7.4,67.0,0.0,3.0,8.0
lovestruck in the city,"Drama, Romance",8.5,7.4,466.0,0.0,6.0,14.0
mystic,Sci-Fi,8.7,7.4,26.0,0.0,0.0,20.0
sweet home,Horror,7.2,5.2,2181.0,0.0,0.0,20.0
paava kadhaigal,Drama,7.1,8.1,3885.0,1.0,3.0,16.0
diamond city,"Drama, Adventure",7.8,5.8,112.0,2.0,1.0,17.0
schulz saves america,Comedy,8.3,7.5,872.0,2.0,4.0,14.0
tornado,"Action, Drama, Thriller",7.3,5.0,400.0,0.0,1.0,7.0
run on,Comedy,7.7,5.5,66.0,0.0,4.0,16.0
the ripper,Thriller,7.1,5.8,560.0,0.0,4.0,16.0
how to ruin christmas,"Comedy, Drama",7.9,6.0,295.0,1.0,3.0,16.0
teen mom 2,"Documentary, Reality-TV",6.1,4.3,2086.0,0.0,1.0,19.0
the challenge,"Adventure, Comedy, Family",6.4,5.3,2922.0,0.0,2.0,18.0
black ink crew new york,Reality-TV,7.2,4.7,319.0,2.0,3.0,15.0
the sound of your heart,Comedy,8.8,8.3,794.0,5.0,0.0,15.0
the sound of your heart,Comedy,8.8,8.3,794.0,5.0,0.0,15.0
ranczo,Comedy,8.2,6.9,533.0,0.0,3.0,17.0
tiny pretty things,"Drama, Mystery, Thriller",4.4,5.8,6958.0,2.0,4.0,14.0
a-teen,"Comedy, Drama, Romance",9.0,8.0,82.0,0.0,6.0,14.0
exatlon,"Game-Show, Reality-TV, Sport",6.7,3.8,450.0,0.0,0.0,20.0
the return of the condor heroes,"Action, Adventure, Fantasy, Romance",8.4,7.3,580.0,1.0,0.0,19.0
stepping out,"Comedy, Drama, Musical",7.9,6.4,1045.0,0.0,3.0,17.0
vettai,Action,6.8,5.9,2288.0,0.0,2.0,18.0
wild orchids,"Romance, Drama",7.7,6.5,590.0,3.0,4.0,13.0
mystery,"Adventure, Comedy",3.2,7.0,221785.0,1.0,7.0,12.0
morning express,"News, Talk-Show",8.6,7.3,95.0,3.0,3.0,14.0
immortal love,Romance,8.4,6.8,76.0,0.0,8.0,12.0
the golden pillow,"Drama, Action, Family",8.9,7.8,8.0,0.0,3.0,12.0
1920. wojna i milosc,"Action, History, Romance, War",8.4,6.9,60.0,0.0,0.0,10.0
the surgeons cut,"Horror, Thriller",6.1,4.9,642.0,1.0,5.0,14.0
once upon a time,"Adventure, Fantasy, Romance",3.9,7.7,208782.0,0.0,1.0,19.0
once upon a time,"Adventure, Fantasy, Romance",3.9,7.7,208782.0,0.0,1.0,19.0
babel,Drama,3.5,7.4,289958.0,0.0,6.0,14.0
the war of the worlds,"Action, Sci-Fi, Thriller",3.9,7.1,32807.0,1.0,7.0,12.0
the pet girl of sakurasou,"Animation, Comedy, Drama, Romance",7.3,7.8,3128.0,0.0,4.0,16.0
world on fire,"Drama, War",6.6,7.2,3935.0,1.0,11.0,8.0
100 days my prince,"Comedy, History, Romance",8.3,7.5,927.0,1.0,3.0,16.0
the ultimate braai master,Reality-TV,8.5,7.1,10.0,0.0,0.0,4.0
hard copy,News,6.9,3.8,96.0,0.0,1.0,0.0
bedford wives,"Comedy, Drama",7.5,5.1,8.0,0.0,2.0,4.0
nothing but thirty,Drama,8.5,7.2,111.0,0.0,3.0,17.0
more than friends,"Comedy, Drama",7.9,5.8,58.0,0.0,8.0,12.0
love again,"Drama, Romance",6.6,5.9,523.0,2.0,3.0,15.0
graceful family,Drama,8.8,7.9,202.0,0.0,9.0,11.0
devilish charm,Thriller,6.7,3.5,119.0,0.0,6.0,13.0
detention,"Comedy, Horror, Mystery, Sci-Fi, Thriller",2.4,5.7,14917.0,0.0,2.0,17.0
selena: the series,"Biography, Drama, Music",6.9,6.6,2704.0,2.0,1.0,17.0
bhaag beanie bhaag,Comedy,5.2,4.1,3609.0,3.0,4.0,13.0
alien worlds,Documentary,8.1,6.3,80.0,1.0,4.0,15.0
lone wolf,"Horror, Music, Mystery",7.1,4.4,275.0,3.0,4.0,13.0
once again,"Drama, Romance",8.1,7.0,773.0,0.0,7.0,13.0
the bachelorette,"Drama, Game-Show, Reality-TV, Romance",4.3,3.4,4888.0,0.0,9.0,11.0
the holiday movies that made us,"Documentary, Family",8.3,7.2,625.0,3.0,3.0,14.0
are you the one,Reality-TV,7.4,6.5,1678.0,2.0,4.0,14.0
twelve nights,Documentary,8.8,7.6,45.0,0.0,5.0,12.0
matrimonial chaos,"Comedy, Romance",8.6,7.2,42.0,1.0,1.0,18.0
"fujoshi, ukkari gei ni kokuru",Drama,8.5,7.0,20.0,0.0,1.0,11.0
the guest,"Action, Mystery, Thriller",3.9,6.7,91927.0,1.0,8.0,11.0
princess sarah,Drama,8.9,7.9,17.0,0.0,2.0,18.0
scent of love,"Drama, Romance",8.2,6.6,216.0,2.0,2.0,16.0
nakee,"Fantasy, Romance",7.7,5.6,284.0,0.0,0.0,20.0
go ahead,"Comedy, Drama, Family, Romance",9.2,8.6,269.0,0.0,3.0,17.0
gibiate,"Animation, Action, Fantasy",7.3,4.7,121.0,4.0,1.0,15.0
a very english scandal,"Biography, Comedy, Crime, Drama, History",3.9,7.7,10432.0,2.0,7.0,11.0
deliver us,Documentary,8.0,6.4,264.0,0.0,6.0,14.0
the uncanny counter,"Action, Fantasy, Horror, Mystery",8.1,8.1,1872.0,0.0,8.0,12.0
die gustloff,"Drama, History, War",7.7,5.8,481.0,3.0,3.0,14.0
space brothers,Comedy,8.1,6.7,401.0,1.0,6.0,13.0
tower of god,"Animation, Action, Adventure, Drama, Fantasy, Mystery",7.4,7.9,3078.0,0.0,5.0,15.0
to the abandoned sacred beasts,"Animation, Action, Drama, Fantasy, Mystery",8.1,6.5,278.0,0.0,4.0,16.0
yashahime: princess half-demon,"Animation, Action, Adventure, Comedy, Fantasy",8.6,7.6,444.0,0.0,4.0,16.0
rich man,"Comedy, Romance",8.2,6.7,388.0,1.0,5.0,14.0
path of the dragons,,8.4,6.8,5.0,2.0,1.0,17.0
olympia kyklos,"Animation, Comedy",8.3,6.7,33.0,0.0,1.0,0.0
moriarty the patriot,"Animation, Crime, History, Mystery, Thriller",8.6,7.7,495.0,0.0,5.0,15.0
im standing on a million lives,"Action, Adventure, Fantasy, Sci-Fi",2.8,6.5,733336.0,3.0,4.0,13.0
dragon quest the adventure of dai,"Animation, Action, Adventure, Fantasy",8.9,8.1,399.0,0.0,6.0,14.0
double fantasy,Drama,8.5,7.1,9.0,2.0,4.0,11.0
dennou coil,"Animation, Adventure, Comedy, Drama, Mystery, Sci-Fi",8.6,7.9,739.0,0.0,4.0,7.0
the day i became a god,"Animation, Drama, Fantasy",8.2,6.6,289.0,2.0,2.0,16.0
coffee & vanilla,"Short, Comedy, Romance",7.9,5.8,89.0,0.0,1.0,19.0
blue spring ride,"Animation, Comedy, Drama, Romance",6.5,7.4,3204.0,4.0,2.0,14.0
beelzebub,"Animation, Action, Comedy, Drama, Fantasy",8.0,7.6,1664.0,7.0,1.0,12.0
barangay 143,"Animation, Sport",8.1,6.2,20.0,0.0,1.0,19.0
